fontName,letter,mass,bending,buckling,torsion,source
Abhaya Libre,E,0.2567,0.21603129772916674,0.015294797175306843,0.08080468756801504,google
Abhaya Libre,L,0.2039,0.18562873989553172,0.0,0.06677750760073883,google
Abhaya Libre,G,0.2633,0.1788404778177971,0.03972538800121185,0.12931678383652484,google
Abhaya Libre,B,0.3334,0.35376985443546427,0.06180370993445668,0.37909603791279756,google
Abhaya Libre,U,0.2231,0.24669591717978362,0.0,0.09989856119235857,google
Abhaya Libre,M,0.2662,0.20881785005388814,0.0,0.06764610815083644,google
Abhaya Libre,N,0.2769,0.22176358965933357,0.03901724422462567,0.07712051292860472,google
Abhaya Libre,Y,0.2128,0.20662460548167869,0.018519006578963573,0.04958569172458677,google
Abhaya Libre,A,0.2225,0.17684488291738903,0.03196462483158494,0.14393383755362846,google
Abhaya Libre,X,0.2606,0.22815061904359546,0.03007529723565301,0.07105025395794316,google
Abhaya Libre,H,0.3157,0.32949716749847097,0.031770778169959435,0.12273843143284029,google
Abhaya Libre,Q,0.2417,0.19869539354564258,0.07245025136025182,0.25705433885639345,google
Abhaya Libre,P,0.2655,0.19961629045839863,0.035566059346143146,0.18969517156222743,google
Abhaya Libre,J,0.1672,0.10622086530866082,0.013127630908074318,0.03686870985980625,google
Abhaya Libre,V,0.2145,0.11137775119795541,0.005458864851683904,0.060296425852324045,google
Abhaya Libre ExtraBold,X,0.3118,0.22736758857315967,0.0301592892453281,0.09829346420597089,google
Abhaya Libre ExtraBold,H,0.3995,0.37730599945837096,0.05351448677433735,0.16384149568001424,google
Abhaya Libre ExtraBold,L,0.3053,0.2671202685236978,0.04727912687719679,0.1392005272786097,google
Abhaya Libre ExtraBold,N,0.347,0.23771574571052542,0.02021288649255772,0.11485775421747088,google
Abhaya Libre ExtraBold,E,0.36,0.36080683228610266,0.027158730119633198,0.14350551902314945,google
Abhaya Libre ExtraBold,A,0.2687,0.20600205679264524,0.042753410789894364,0.09152090071950926,google
Abhaya Libre ExtraBold,U,0.293,0.2963042632291135,0.04731250200127589,0.14792680601082595,google
Abhaya Libre ExtraBold,Z,0.3505,0.315857183563411,0.05905869834552983,0.11641095438202737,google
Abhaya Libre ExtraBold,D,0.4545,0.44448146811634215,0.09004226694680426,0.7020521559425805,google
Abhaya Libre ExtraBold,J,0.264,0.16334272425714252,0.03910320672133126,0.08739002939104079,google
Abhaya Libre ExtraBold,M,0.3399,0.24171327721300237,0.024432315002056695,0.10294943329335506,google
Abhaya Libre ExtraBold,Y,0.3062,0.24624619694886402,0.051208893793212175,0.10331033985668062,google
Abhaya Libre ExtraBold,G,0.3616,0.2715249212336906,0.07086068410383482,0.2034279380164009,google
Abhaya Libre ExtraBold,B,0.5025,0.5030893801571703,0.1158299075595272,0.7239762167190791,google
Abhaya Libre ExtraBold,R,0.503,0.5188115432899914,0.10841521117463195,0.5206273015703804,google
Abhaya Libre ExtraBold,W,0.2319,0.12525436945433488,0.009277052939597186,0.03633577230774056,google
Abhaya Libre ExtraBold,T,0.3442,0.3371847158623231,0.07698237153040338,0.17437803484041345,google
Abhaya Libre ExtraBold,I,0.2562,0.2812241683274842,0.023751142266700494,0.07654744568361814,google
Abhaya Libre ExtraBold,Q,0.3294,0.25301886092067327,0.1227899140621344,0.4078457360990855,google
Abhaya Libre ExtraBold,P,0.3959,0.2761456062231481,0.07952159038008233,0.34631222841129755,google
Abhaya Libre ExtraBold,V,0.2918,0.16803163608625765,0.01051513457194864,0.10645155694337932,google
Abhaya Libre ExtraBold,F,0.3197,0.2760768540969804,0.023343005140508043,0.13850754287017744,google
Abhaya Libre ExtraBold,O,0.4056,0.3281155156189073,0.17178336465586674,0.684559803124598,google
Abhaya Libre ExtraBold,K,0.4251,0.3118283414687389,0.05257173188568222,0.15279310792758047,google
Abhaya Libre ExtraBold,C,0.3059,0.27350579924392904,0.07797426543938166,0.15505731747969081,google
Abhaya Libre ExtraBold,H_rot,0.3995,0.23299742364262582,0.0535093142458823,0.16384830237479076,google
Abhaya Libre Medium,J,0.1854,0.11766353672043933,0.016557386740100148,0.04495252046982021,google
Abhaya Libre Medium,L,0.2223,0.2039952685598831,0.0,0.0794827517058909,google
Abhaya Libre Medium,Q,0.26,0.21560344876908255,0.05356633521432742,0.2980351773662881,google
Abhaya Libre Medium,S,0.2667,0.23955244342633528,0.07486015699855417,0.06770252943370998,google
Abhaya Libre Medium,Z,0.2799,0.22526145314234866,0.027880790460872287,0.07817940057554004,google
Abhaya Libre Medium,M,0.2822,0.2156296990506601,0.0,0.07638031801465617,google
Abhaya Libre Medium,W,0.1924,0.11598012970361293,0.006632043567468244,0.026946690329368198,google
Abhaya Libre Medium,Y,0.2317,0.183938430669457,0.01312356677857391,0.0599288558569393,google
Abhaya Libre Medium,U,0.2361,0.2547613752078774,0.0,0.11062589376975793,google
Abhaya Libre Medium,H,0.3333,0.34124509850171775,0.035815202800062076,0.13787019299246356,google
Abhaya Libre Medium,I,0.1827,0.21261363491297952,0.011155296545982548,0.03867425460071903,google
Abhaya Libre Medium,A,0.2331,0.18437164067857947,0.0,0.082510490441199,google
Abhaya Libre Medium,F,0.2412,0.2154143985069917,0.014411033742127289,0.0771730119695748,google
Abhaya Libre Medium,B,0.3655,0.38084707352926955,0.0,0.4120136977796938,google
Abhaya Libre Medium,R,0.3739,0.3936371085152339,0.06574246719754871,0.3103284287641226,google
